Title,Type,Body,Answer,Level
Data Pipeline Design,data engineering,Design a data pipeline that processes 1TB of daily log files and generates real-time alerts.,1) Ingestion architecture 2) Processing framework 3) Storage strategy 4) Alert mechanism 5) Error handling 6) Monitoring setup,3
Product Growth,product metrics,Your product's DAU grew 40% but retention dropped 15%. How would you investigate and address this?,1) Cohort analysis 2) Acquisition channel review 3) Feature adoption metrics 4) User journey mapping 5) Churn analysis 6) Action plan,2
Algorithm Optimization,algorithms,Implement an algorithm to find the k-th smallest element in two sorted arrays. Optimize for space and time.,1) Binary search approach 2) Partition method 3) Time complexity O(log(m+n)) 4) Space optimization 5) Edge cases 6) Proof of correctness,3
Probability Analysis,probability,Calculate the expected number of shuffles needed to sort a deck of cards using riffle shuffles.,1) Markov chain model 2) State space analysis 3) Transition probabilities 4) Expected value calculation 5) Simulation verification 6) Code implementation,3
Feature Engineering,ML,"Create features for a model predicting house prices, handling categorical variables and geographical data.",1) Categorical encoding 2) Spatial features 3) Interaction terms 4) Feature selection 5) Validation strategy 6) Feature importance,2
Time Series Modeling,stats,"Build a model to forecast energy demand considering weather, seasonal patterns, and special events.",1) Feature extraction 2) Multiple seasonality 3) External regressors 4) Model selection 5) Cross-validation 6) Uncertainty estimation,3
Database Optimization,sql,Optimize a complex query involving multiple joins and window functions that's timing out.,1) Query plan analysis 2) Index optimization 3) Join reordering 4) Materialized views 5) Partition strategy 6) Caching implementation,3
A/B Testing Framework,experimentation,Design an experimentation framework that handles multiple concurrent tests with shared user populations.,1) Test assignment 2) Interference detection 3) Power analysis 4) Multiple testing correction 5) Sequential analysis 6) Documentation requirements,3
Data Quality System,data engineering,Design a system to monitor and maintain data quality across hundreds of tables and pipelines.,1) Quality metrics 2) Validation rules 3) Monitoring system 4) Alert framework 5) Recovery process 6) Documentation strategy,3
Anomaly Detection,ML,Build a system to detect unusual patterns in server metrics with minimal false positives.,1) Feature selection 2) Algorithm choice 3) Threshold optimization 4) Alert mechanism 5) Feedback loop 6) Performance monitoring,3
Product Pricing,business case,"Design a dynamic pricing system for a ride-sharing service considering supply, demand, and competition.",1) Price elasticity 2) Supply-demand model 3) Competitor analysis 4) Algorithm design 5) Testing strategy 6) Monitoring plan,3
Natural Language Processing,python,Implement a system to classify customer support tickets by urgency and department.,1) Text preprocessing 2) Feature extraction 3) Model selection 4) Training pipeline 5) Evaluation metrics 6) Deployment strategy,2
Statistical Modeling,stats,Build a model to attribute marketing spend across channels considering delayed effects and seasonality.,1) Attribution model 2) Time decay 3) Channel interaction 4) Model validation 4) ROI calculation 5) Recommendation framework,3
Algorithm Design,algorithms,Design an efficient algorithm to find all palindromic substrings in a string. Analyze complexity.,1) Dynamic programming 2) Center expansion 3) Time complexity O(n²) 4) Space optimization 5) Implementation details 6) Test cases,3
Data Warehouse Design,data engineering,Design a data warehouse schema for a healthcare system handling patient records and insurance claims.,1) Dimensional model 2) Fact table design 3) SCD handling 4) Partitioning strategy 5) Security measures 6) ETL process,3
Product Analytics,product metrics,Design metrics to measure the success of a new social feature in a gaming app.,1) Engagement metrics 2) Retention impact 3) Monetization effect 4) Social graph analysis 5) A/B testing plan 6) Long-term tracking,2
Machine Learning Pipeline,ML,Design an ML pipeline for real-time fraud detection in financial transactions.,1) Feature pipeline 2) Model serving 3) Monitoring system 4) Retraining strategy 5) Error handling 6) Performance optimization,3
Database Scalability,sql,Design a database architecture that can handle 1M concurrent users with sub-second response time.,1) Sharding strategy 2) Caching layers 3) Read replicas 4) Connection pooling 5) Query optimization 6) Monitoring setup,3
Time Series Analysis,python,Implement a system to detect change points in multiple time series streams.,1) Algorithm selection 2) Feature extraction 3) Statistical tests 4) Alert mechanism 5) Visualization 6) Performance optimization,3
Causal Analysis,stats,Design a study to measure the causal impact of a new feature on user engagement.,1) Study design 2) Control selection 3) Confounding factors 4) Statistical methods 5) Sensitivity analysis 6) Validation approach,3
System Design,architecture,Design a URL shortening service that handles 1B redirects per day.,1) API design 2) Storage strategy 3) Caching system 4) Analytics tracking 5) Load balancing 6) Monitoring setup,3
Product Strategy,business case,Analyze whether to build a mobile app or optimize the mobile web experience.,1) User research 2) Cost analysis 3) Technical assessment 4) Market analysis 5) ROI calculation 6) Risk assessment,2
Data Privacy,security,Design a system to anonymize customer data while preserving analytical value.,1) Anonymization techniques 2) k-anonymity 3) Differential privacy 4) Utility metrics 5) Compliance validation 6) Access controls,3
Algorithm Complexity,algorithms,Implement an algorithm to find the longest increasing subsequence. Optimize for time and space.,1) Dynamic programming 2) Binary search 3) Time complexity O(nlogn) 4) Space optimization 5) Implementation details 6) Test cases,3
Feature Store Design,ML,Design a feature store for a recommendation system serving 100k requests per second.,1) Storage architecture 2) Feature computation 3) Serving layer 4) Consistency model 5) Monitoring system 6) Recovery strategy,3
Data Quality,analytics,Design a framework to detect and handle data quality issues in real-time data streams.,1) Quality metrics 2) Detection rules 3) Alert system 4) Recovery process 5) Documentation 6) Monitoring dashboard,2
Statistical Testing,stats,Design an experiment to test the impact of UI changes with multiple variants and metrics.,1) Experimental design 2) Sample size calculation 3) Multiple testing 4) Analysis plan 5) Implementation strategy 6) Documentation requirements,3
Query Optimization,sql,Optimize a query that aggregates data across multiple partitioned tables with complex joins.,1) Query plan analysis 2) Index strategy 3) Partition pruning 4) Join optimization 5) Materialized views 6) Caching strategy,3
Recommendation Algorithm,ML,Design a content recommendation system that balances user preferences and business goals.,1) Objective function 2) Algorithm design 3) Business constraints 4) A/B testing 5) Monitoring system 6) Performance metrics,3
Market Analysis,business case,Evaluate whether to enter a new market segment considering competition and market trends.,1) Market size 2) Competition analysis 3) Entry barriers 4) Cost structure 5) Risk assessment 6) Growth projection,2
Data Infrastructure,data engineering,Design a data infrastructure that handles both batch and streaming processing at scale.,1) Lambda architecture 2) Storage layers 3) Processing framework 4) Monitoring system 5) Recovery strategy 6) Cost optimization,3
Product Metrics,analytics,Design metrics to measure the success of a subscription-based product.,1) Revenue metrics 2) Engagement metrics 3) Churn analysis 4) Customer lifetime value 5) Unit economics 6) Leading indicators,2
Algorithm Design,algorithms,Implement an efficient algorithm for the traveling salesman problem using approximation.,1) Approximation algorithm 2) Performance analysis 3) Time complexity 4) Space optimization 5) Implementation details 6) Test cases,3
Time Series Forecasting,ML,Build a forecasting system for retail demand considering multiple seasonal patterns.,1) Feature engineering 2) Model selection 3) Validation strategy 4) Deployment plan 5) Monitoring system 6) Update mechanism,3
Database Design,sql,Design a database schema for a social media platform with complex relationships.,1) Schema design 2) Index strategy 3) Query patterns 4) Scaling approach 5) Performance optimization 6) Security measures,3
Statistical Analysis,stats,Analyze the results of a complex experiment with multiple treatment groups and metrics.,1) Statistical methods 2) Multiple testing 3) Effect size 4) Power analysis 5) Interpretation 6) Recommendations,3
System Architecture,architecture,Design a distributed task scheduling system with guaranteed execution.,1) Architecture design 2) Fault tolerance 3) Scalability 4) Monitoring 5) Recovery strategy 6) Performance optimization,3
Product Development,business case,Evaluate build vs. buy decision for a critical system component.,1) Cost analysis 2) Risk assessment 3) Technical evaluation 4) Timeline comparison 5) Maintenance considerations 6) Strategic alignment,2
Data Pipeline,data engineering,Design a data pipeline that processes user activity data for real-time personalization.,1) Architecture design 2) Processing framework 3) Storage strategy 4) Monitoring system 5) Recovery plan 6) Performance optimization,3
Machine Learning System,ML,Design an ML system that automatically detects and adapts to data drift.,1) Monitoring system 2) Drift detection 3) Model updating 4) Validation strategy 5) Alert mechanism 6) Recovery process,3
Algorithm Implementation,algorithms,Implement an efficient algorithm for finding strongly connected components in a graph.,1) Kosaraju's algorithm 2) Implementation details 3) Time complexity 4) Space optimization 5) Edge cases 6) Test strategy,3
Product Analytics,analytics,Design an analytics system to measure and optimize user onboarding.,1) Funnel analysis 2) Cohort tracking 3) A/B testing 4) Metric design 5) Visualization 6) Action framework,2
Database Optimization,sql,Optimize a database system experiencing deadlocks and performance issues.,1) Lock analysis 2) Query optimization 3) Index strategy 4) Configuration tuning 5) Monitoring setup 6) Performance testing,3
Statistical Modeling,stats,Build a model to predict customer lifetime value considering various business factors.,1) Feature selection 2) Model choice 3) Validation strategy 4) Implementation plan 5) Monitoring system 6) Update mechanism,3
System Design,architecture,Design a real-time collaboration system for document editing.,1) Architecture design 2) Conflict resolution 3) Scalability 4) Performance optimization 5) Security measures 6) Monitoring setup,3
Business Strategy,business case,Analyze whether to optimize for user growth or revenue in the next quarter.,1) Market analysis 2) Financial modeling 3) Risk assessment 4) Strategy comparison 5) Implementation plan 6) Success metrics,2
Data Architecture,data engineering,Design a data architecture that supports both analytical and operational workloads.,1) Architecture design 2) Storage strategy 3) Processing framework 4) Security measures 5) Performance optimization 6) Cost analysis,3
Machine Learning Pipeline,ML,Design an ML pipeline for automated content moderation at scale.,1) Feature engineering 2) Model selection 3) Training pipeline 4) Serving infrastructure 5) Monitoring system 6) Update strategy,3
Algorithm Design,algorithms,Implement an efficient algorithm for the longest common subsequence problem.,1) Dynamic programming 2) Space optimization 3) Time complexity 4) Implementation details 5) Edge cases 6) Test strategy,3
Product Strategy,product metrics,Design metrics to measure the success of a marketplace platform.,1) Supply metrics 2) Demand metrics 3) Matching efficiency 4) Financial health 5) User satisfaction 6) Growth indicators,2
Query Performance,sql,Optimize a reporting system that aggregates data across multiple databases.,1) Query optimization 2) Caching strategy 3) Index design 4) Partitioning approach 5) Monitoring setup 6) Performance testing,3
Statistical Analysis,stats,Design an experiment to measure the impact of price changes on user behavior.,1) Experimental design 2) Sample size calculation 3) Analysis plan 4) Implementation strategy 5) Monitoring system 6) Reporting framework,3
System Architecture,architecture,Design a notification system that handles multiple channels and priorities.,1) Architecture design 2) Priority handling 3) Scalability 4) Delivery guarantees 5) Monitoring setup 6) Failure recovery,3
Market Analysis,business case,Evaluate the impact of a competitor's new feature on your product strategy.,1) Competition analysis 2) Market impact 3) Response strategy 4) Risk assessment 5) Implementation plan 6) Success metrics,2
Data Quality,data engineering,Design a system to ensure data consistency across multiple microservices.,1) Consistency model 2) Validation rules 3) Monitoring system 4) Recovery strategy 5) Documentation 6) Testing approach,3
Machine Learning System,ML,Design an ML system that handles concept drift in a production environment.,1) Drift detection 2) Model updating 3) Validation strategy 4) Deployment pipeline 5) Monitoring system 6) Recovery process,3
Algorithm Implementation,algorithms,Implement an efficient algorithm for the minimum spanning tree problem.,1) Kruskal's algorithm 2) Implementation details 3) Time complexity 4) Space optimization 5) Edge cases 6) Test strategy,3
Product Analytics,analytics,Design an analytics system to measure and optimize user retention.,1) Cohort analysis 2) Engagement metrics 3) Churn prediction 4) Action framework 5) Monitoring system 6) Reporting strategy,2
Database Design,sql,Design a database schema that handles temporal data with historical tracking.,1) Temporal design 2) Indexing strategy 3) Query patterns 4) Storage optimization 5) Performance tuning 6) Maintenance plan,3
Statistical Modeling,stats,Build a model to predict customer churn considering multiple data sources.,1) Feature engineering 2) Model selection 3) Validation strategy 4) Implementation plan 5) Monitoring system 6) Update mechanism,3
System Design,architecture,Design a distributed caching system with strong consistency guarantees.,1) Architecture design 2) Consistency model 3) Scalability 4) Performance optimization 5) Failure handling 6) Monitoring setup,3
Business Strategy,business case,Analyze whether to expand into a new geographic market.,1) Market analysis 2) Cost modeling 3) Risk assessment 4) Strategy comparison 5) Implementation plan 6) Success metrics,2
Multivariate Testing,a/b testing,Design a system to run and analyze multivariate tests across a mobile app with 5M DAU.,1) Test allocation strategy 2) Sample size calculation 3) Interaction effects 4) Multiple testing correction 5) Sequential analysis 6) Reporting framework,3
Pandas Optimization,python,Optimize a data processing pipeline that's taking 4 hours to process 100GB of customer data.,1) Chunking strategy 2) Dask integration 3) Memory profiling 4) Vectorization 5) Parallel processing 6) IO optimization,3
Graph Analytics,algorithms,Design an algorithm to detect communities in a social network with 1B edges.,1) Louvain method 2) Parallelization strategy 3) Memory optimization 4) Scalability approach 5) Validation metrics 6) Implementation details,3
Survival Analysis,stats,Build a model to predict customer churn using censored data and time-varying covariates.,1) Kaplan-Meier estimation 2) Cox proportional hazards 3) Time-varying features 4) Model validation 5) Interpretation 6) Implementation strategy,3
ETL Pipeline,data engineering,Design an ETL pipeline that handles late-arriving data and maintains historical accuracy.,1) Late data handling 2) Versioning strategy 3) Backfill process 4) Data quality checks 5) Monitoring system 6) Recovery procedure,3
Feature Store,ML,Design a feature store that serves both batch and real-time features for 100+ models.,1) Storage architecture 2) Serving layer 3) Feature computation 4) Consistency model 5) Monitoring setup 6) Recovery strategy,3
Market Entry,business case,Evaluate entering the B2B market for your current B2C product.,1) Market sizing 2) Competition analysis 3) Product adaptation 4) Go-to-market strategy 5) Resource requirements 6) Risk assessment,2
Query Optimization,sql,Optimize a query that performs slowly due to multiple self-joins and window functions.,1) Query rewriting 2) Index strategy 3) Materialized views 4) Partition scheme 5) Join optimization 6) Performance testing,3
Product Metrics,analytics,Design metrics to measure the success of a new AI-powered feature.,1) Accuracy metrics 2) User adoption 3) Business impact 4) Performance monitoring 5) A/B testing plan 6) Long-term tracking,2
Network Flow,algorithms,Implement an algorithm to find the maximum flow in a network with capacity constraints.,1) Ford-Fulkerson implementation 2) Edmonds-Karp optimization 3) Time complexity 4) Space optimization 5) Edge cases 6) Testing strategy,3
Time Series Analytics,python,Build a system to detect and forecast seasonal patterns in multiple time series.,1) Decomposition method 2) Feature extraction 3) Model selection 4) Validation strategy 5) Implementation details 6) Monitoring system,3
Data Quality,data engineering,Design a system to detect and handle data quality issues across 1000+ tables.,1) Quality metrics 2) Validation rules 3) Monitoring system 4) Alert mechanism 5) Recovery process 6) Documentation requirements,3
Recommendation System,ML,Design a recommendation system that balances exploration and exploitation.,1) Multi-armed bandit 2) Thompson sampling 3) Contextual bandits 4) A/B testing 5) Monitoring system 6) Performance metrics,3
Product Strategy,business case,Analyze whether to sunset a legacy feature used by 5% of users.,1) Usage analysis 2) Cost assessment 3) User impact 4) Migration strategy 5) Risk evaluation 6) Communication plan,2
Database Partitioning,sql,Design a partitioning strategy for a table with 1B rows and complex query patterns.,1) Partition key selection 2) Partition scheme 3) Query optimization 4) Maintenance strategy 5) Monitoring setup 6) Performance testing,3
Statistical Testing,stats,Design an experiment to measure the impact of a new pricing strategy with seasonal effects.,1) Experimental design 2) Control selection 3) Sample size calculation 4) Analysis plan 5) Implementation strategy 6) Monitoring system,3
Algorithm Design,algorithms,Implement an efficient algorithm for the k-closest points problem in high dimensions.,1) Algorithm choice 2) Space partitioning 3) Time complexity 4) Implementation details 5) Edge cases 6) Testing approach,3
Data Pipeline,data engineering,Design a pipeline that processes real-time sensor data from IoT devices.,1) Ingestion system 2) Processing framework 3) Storage strategy 4) Error handling 5) Monitoring setup 6) Recovery process,3
Machine Learning Ops,ML,Design an MLOps system that handles model deployment and monitoring at scale.,1) Deployment pipeline 2) Monitoring system 3) Version control 4) A/B testing 5) Rollback strategy 6) Documentation requirements,3
Market Analysis,business case,Evaluate launching a premium tier for your freemium product.,1) Market research 2) Pricing strategy 3) Feature selection 4) Revenue projection 5) Risk assessment 6) Launch plan,2
Performance Tuning,python,Optimize a Python service that's experiencing memory leaks and CPU spikes.,1) Profiling strategy 2) Memory optimization 3) CPU optimization 4) Caching implementation 5) Monitoring setup 6) Testing approach,3
Graph Algorithms,algorithms,Design an algorithm to find all possible paths between two nodes with constraints.,1) DFS modification 2) Constraint handling 3) Time complexity 4) Space optimization 5) Implementation details 6) Testing strategy,3
